"Record Number","Address","Description","Status","Related Records","Submittal Type",
"COM2022-01658","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. work location: 16585 Lake Cir Dr  Building 1  Unit 112Fort Myers, FL 33908","Waiting on Applicant","0","ePlan",
"RES2022-10671","432 READING ST, LEHIGH ACRES FL 33974","New Single Family Residence","Closed-Voided","0","ePlan",
"MEC2022-07815","5662 CAPTAIN JOHN SMITH LOOP, NORTH FORT MYERS FL 33917","INSTALL 3 TON 10 KW 14 SEER PKG REPLACEMENT","Closed-CC Issued","0","ePlan",
"RES2022-10670","11861 ISLE OF PALMS DR, FORT MYERS BEACH FL 33931","Interior Remodel- Hurricane Ian.","Closed-CC Issued","0","ePlan",
"ROF2022-08968","3501 23RD ST SW, LEHIGH ACRES FL 33976","Shingle Reroof","Closed-CC Issued","0","ePlan",
"RES2022-10669","830 COMMANCHE TRL, FORT MYERS BEACH FL 33931","DRYWALL, INSULATION, ABINETS, PLUMBING, ELECTRIC, HVAC","Permit Issued","0","Paper Submittal",
"ROF2022-08967","19303 CONGRESSIONAL CT, NORTH FORT MYERS FL 33903","TEAR OFF OLD SHINGLE ROOF AND REROOF WITH NEW DIMENSIONAL SHINGLES","Closed-Withdrawn","0","ePlan",
"ELE2022-03946","5597 SHORT ST, SAINT JAMES CITY FL 33956","HURRICANE IAN EMERGENCY STORM DAMAGE. Replace mast so that customer can get power restored from LCEC","Closed-CC Issued","0","ePlan",
"RES2022-10668","6376 MORGAN LA FEE LN, FORT MYERS FL 33912","Hurricane Ian Damage - Re-model","Permit Expired","0","Paper Submittal",
"MEC2022-07814","15477 ADMIRALTY CIR, 6, NORTH FORT MYERS FL 33917","Install 2 ton 16 seer 5kw split system","Closed-CC Issued","0","ePlan",
"MEC2022-07813","19718 WOODFIELD CIR, NORTH FORT MYERS FL 33903","Replaced A/C","Closed-CC Issued","0","ePlan",
"ELE2022-03945","15919 COUNTRY CT, FORT MYERS FL 33912","replace 200amp Outdoor Service andElectrical Panel like for like, grounding system, surge, and install j box above panel","Closed-CC Issued","0","ePlan",
"ELE2022-03944","16281 KELLY WOODS DR, FORT MYERS FL 33908","Redevice all outlets,  run 1” conduit for the wire to a new 12 space sub panel, install 1-20 amp breaker, 2-20 amp 2pole breakers and a 2pole 50amp 2pole breaker, Run a dedicated 80amp circuit through the attic","Closed-CC Issued","0","ePlan",
