Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,BldgValue,EstLoss
single_family,Affected,Non-Flood,,Affected,112517,16877.55
single_family,Affected,Non-Flood,,Affected,156523,23478.45
multi_family,Minor,Flood,4,Minor,172825,43206.25
multi_family,Affected,Non-Flood,,Affected,102183,15327.45
single_family,Affected,Non-Flood,,Affected,185293,27793.95
single_family,Affected,Non-Flood,,Affected,127207,19081.05
single_family,Minor,Non-Flood,,Minor,438518,109629.5
multi_family,Minor,Flood,4,Minor,143310,35827.5
single_family,Minor,Non-Flood,,Minor,179187,44796.75
single_family,Minor,Non-Flood,,Minor,148130,37032.5
multi_family,Minor,Non-Flood,,Minor,185738,46434.5
single_family,Minor,Non-Flood,,Minor,69830,17457.5
multi_family,Affected,Non-Flood,,Affected,142317,21347.55
single_family,Affected,Non-Flood,,Affected,167164,25074.6
multi_family,Minor,Non-Flood,,Minor,121887,30471.75
single_family,Major,Flood,36,Major,154636,77318
single_family,Major,Flood,76,Major,266993,133496.5
single_family,Major,Flood,24,Major,143114,71557
single_family,Affected,Non-Flood,,Affected,145734,21860.1
single_family,Affected,Non-Flood,,Affected,175381,26307.15
single_family,Affected,Non-Flood,,Affected,119823,17973.45
single_family,Minor,Flood,36,Minor,176366,44091.5
multi_family,Minor,Flood,4,Minor,186730,46682.5
single_family,Major,Non-Flood,,Major,75487,37743.5
multi_family,Major,Flood,43,Major,190168,95084
multi_family,Affected,Non-Flood,,Affected,134089,20113.35
multi_family,Minor,Flood,3,Minor,201539,50384.75
single_family,Minor,Non-Flood,,Minor,110342,27585.5
single_family,Minor,Non-Flood,,Minor,126260,31565
single_family,Affected,Non-Flood,,Affected,85500,12825
single_family,Major,Flood,67,Major,327419,163709.5
multi_family,Minor,Non-Flood,,Minor,116409,29102.25
single_family,Minor,Non-Flood,,Minor,130262,32565.5
single_family,Affected,Non-Flood,,Affected,149579,22436.85
multi_family,Minor,Flood,3,Minor,171770,42942.5
multi_family,Minor,Non-Flood,,Minor,174713,43678.25
multi_family,Major,Flood,73,Major,117648,58824
single_family,Minor,Flood,,Minor,83533,20883.25
single_family,Minor,Non-Flood,,Minor,120630,30157.5
single_family,Affected,Non-Flood,,Affected,64385,9657.75
single_family,Major,Flood,73,Major,129023,64511.5
single_family,Major,Flood,76,Major,112217,56108.5
multi_family,Affected,Non-Flood,,Affected,,
single_family,Major,Flood,36,Major,0,0
single_family,Minor,Non-Flood,,Minor,77311,19327.75
single_family,Major,Flood,73,Major,136149,68074.5
single_family,Affected,Non-Flood,,Affected,134006,20100.9
single_family,Affected,Non-Flood,,Affected,120972,18145.8
single_family,Minor,Non-Flood,,Minor,135663,33915.75
single_family,Minor,Flood,3,Minor,88699,22174.75
single_family,Major,Non-Flood,,Major,163441,40860.25
single_family,Affected,Non-Flood,,Affected,120972,18145.8
single_family,Affected,Non-Flood,,Affected,185102,27765.3
single_family,Affected,Non-Flood,,Affected,128897,19334.55
single_family,Affected,Non-Flood,,Affected,224106,33615.9
single_family,Major,Non-Flood,,Major,288449,144224.5
single_family,Major,Flood,86,Major,76566,38283
single_family,Major,Non-Flood,,Major,53364,26682
single_family,Major,Flood,74,Major,164977,82488.5
single_family,Affected,Non-Flood,,Affected,141375,21206.25
single_family,Affected,Non-Flood,,Affected,115023,17253.45
single_family,Minor,Non-Flood,,Minor,322104,80526
single_family,Affected,Non-Flood,,Affected,158524,23778.6
single_family,Minor,Flood,3,Minor,117184,29296
single_family,Major,Flood,77,Major,227392,113696
single_family,Minor,Non-Flood,,Minor,,
single_family,Affected,Non-Flood,,Affected,62628,9394.2
single_family,Major,Flood,77,Major,197014,98507
single_family,Major,Flood,65,Major,140392,70196
single_family,Minor,Non-Flood,,Minor,78715,19678.75
single_family,Major,Flood,90,Major,86499,43249.5
single_family,Minor,Non-Flood,,Minor,94826,23706.5
single_family,Major,Flood,,Major,1045316,522658
single_family,Major,Flood,73,Major,258239,129119.5
single_family,Minor,Non-Flood,,Minor,60534,15133.5
single_family,Minor,Non-Flood,,Minor,160006,40001.5
single_family,Major,Flood,75,Major,96069,48034.5
single_family,Major,Flood,76,Major,82287,41143.5
single_family,Minor,Non-Flood,,Minor,105154,26288.5
single_family,Affected,Non-Flood,,Affected,232062,34809.3
single_family,Minor,Non-Flood,,Minor,163825,40956.25
single_family,Affected,Non-Flood,,Affected,147509,22126.35
multi_family,Major,Flood,80,Major,216973,108486.5
single_family,Minor,Flood,3,Minor,129568,32392
single_family,Major,Non-Flood,,Major,261869,130934.5
single_family,Minor,Non-Flood,,Minor,184824,46206
single_family,Minor,Non-Flood,,Minor,154501,38625.25
single_family,Minor,Non-Flood,,Minor,114523,28630.75
single_family,Minor,Non-Flood,,Minor,135894,33973.5
single_family,Minor,Non-Flood,,Minor,86534,21633.5
single_family,Major,Flood,76,Major,124173,62086.5
single_family,Affected,Non-Flood,,Affected,144425,21663.75
single_family,Minor,Non-Flood,,Minor,146224,36556
single_family,Affected,Non-Flood,,Affected,134352,20152.8
single_family,Major,Flood,54,Major,78835,39417.5
single_family,Minor,Non-Flood,,Minor,91352,22838
single_family,Major,Flood,58,Major,99775,49887.5
single_family,Major,Non-Flood,,Major,261869,130934.5
single_family,Affected,Non-Flood,,Affected,205812,30871.8
single_family,Minor,Non-Flood,,Minor,80174,20043.5
single_family,Major,Non-Flood,,Major,51844,25922
single_family,Affected,Non-Flood,,Affected,118646,17796.9
single_family,Minor,Non-Flood,,Minor,143116,35779
single_family,Minor,Non-Flood,,Minor,44705,11176.25
single_family,Major,Flood,54,Major,343964,171982
single_family,Affected,Non-Flood,,Affected,101475,15221.25
single_family,Affected,Non-Flood,,Affected,120678,18101.7
single_family,Affected,Non-Flood,,Affected,117316,17597.4
single_family,Major,Flood,79,Major,20988,10494
single_family,Affected,Non-Flood,,Affected,229452,34417.8
single_family,Affected,Non-Flood,,Affected,238909,35836.35
single_family,Affected,Non-Flood,,Affected,122606,18390.9
single_family,Affected,Non-Flood,,Affected,115173,17275.95
single_family,Affected,Non-Flood,,Affected,148883,22332.45
single_family,Affected,Non-Flood,,Affected,177903,26685.45
single_family,Affected,Non-Flood,,Affected,139101,20865.15
single_family,Affected,Non-Flood,,Affected,144551,21682.65
single_family,Affected,Non-Flood,,Affected,76726,11508.9
single_family,Affected,Non-Flood,,Affected,112770,16915.5
single_family,Affected,Non-Flood,,Affected,134464,20169.6
single_family,Affected,Non-Flood,,Affected,88626,13293.9
single_family,Affected,Non-Flood,,Affected,139154,20873.1
single_family,Affected,Non-Flood,,Affected,144586,21687.9
single_family,Affected,Non-Flood,,Affected,143164,21474.6
single_family,Affected,Non-Flood,,Affected,145294,21794.1
single_family,Affected,Non-Flood,,Affected,128117,19217.55
single_family,Major,Flood,53,Major,148412,74206
single_family,Major,Flood,77,Major,42873,21436.5
single_family,Affected,Non-Flood,,Affected,132976,19946.4
single_family,Affected,Non-Flood,,Affected,154125,23118.75
single_family,Affected,Non-Flood,,Affected,132976,19946.4
single_family,Affected,Non-Flood,,Affected,141598,21239.7
single_family,Minor,Non-Flood,,Minor,76498,19124.5
single_family,Major,Flood,72,Major,69770,34885
single_family,Major,Flood,75,Major,269500,134750
single_family,Minor,Non-Flood,,Minor,7246957,1811739.25
single_family,Minor,Non-Flood,,Minor,148658,37164.5
single_family,Minor,Non-Flood,,Minor,73934,18483.5
single_family,Minor,Non-Flood,,Minor,263461,65865.25
single_family,Affected,Non-Flood,,Affected,175175,26276.25
single_family,Affected,Non-Flood,,Affected,132532,19879.8
single_family,Major,Flood,35,Major,1302115,651057.5
single_family,Minor,Non-Flood,,Minor,81565,20391.25
single_family,Affected,Non-Flood,,Affected,213080,31962
single_family,Affected,Non-Flood,,Affected,,
single_family,Major,Flood,37,Major,27173,13586.5
single_family,Affected,Non-Flood,,Affected,96804,14520.6
single_family,Affected,Non-Flood,,Affected,241720,36258
single_family,Minor,Flood,34,Minor,295503,73875.75
single_family,Major,Non-Flood,,Major,79958,39979
single_family,Affected,Non-Flood,,Affected,279219,41882.85
single_family,Affected,Non-Flood,,Affected,199002,29850.3
single_family,Minor,Non-Flood,,Minor,45830,11457.5
single_family,Affected,Non-Flood,,Affected,142508,21376.2
single_family,Minor,Non-Flood,,Minor,68768,17192
single_family,Affected,Non-Flood,,Affected,75356,11303.4
single_family,Minor,Non-Flood,,Minor,46244,11561
single_family,Major,Flood,50,Major,47998,23999
single_family,Major,Flood,41,Major,69384,34692
single_family,Major,Flood,35,Major,162666,81333
single_family,Minor,Non-Flood,,Minor,83862,20965.5
single_family,Affected,Non-Flood,,Affected,69032,10354.8
single_family,Affected,Non-Flood,,Affected,144803,21720.45
single_family,Minor,Non-Flood,,Minor,268772,67193
single_family,Affected,Non-Flood,,Affected,144784,21717.6
single_family,Affected,Non-Flood,,Affected,227973,34195.95
single_family,Affected,Non-Flood,,Affected,174036,26105.4
single_family,Affected,Non-Flood,,Affected,141663,21249.45
single_family,Major,Flood,60,Major,56657,28328.5
single_family,Minor,Non-Flood,,Minor,80930,20232.5
single_family,Minor,Non-Flood,,Minor,219753,54938.25
single_family,Affected,Non-Flood,,Affected,171865,25779.75
single_family,Affected,Non-Flood,,Affected,155860,23379
single_family,Affected,Non-Flood,,Affected,115297,17294.55
single_family,Affected,Non-Flood,,Affected,119706,17955.9
single_family,Affected,Non-Flood,,Affected,181978,27296.7
single_family,Affected,Non-Flood,,Affected,59443,8916.45
single_family,Major,Flood,70,Major,167084,83542
single_family,Minor,Non-Flood,,Minor,135670,33917.5
single_family,Affected,Non-Flood,,Affected,154005,23100.75
