home,time,repair_state,vacancy_state,sales_state
dqcnf47s,0,0,0,0
dqcnf4v1,0,0,0,0
dqcnf559,0,0,0,0
dqcnf69x,0,1,0,1
dqcnf6cg,0,1,1,0
dqcnf6cj,0,0,0,0
dqcnf794,0,0,0,0
dqcnf9bj,0,0,0,0
dqcnfc69,0,0,0,0
dqcnfffs,0,0,0,0
dqcnfgqb,0,0,0,0
dqcnfk5z,0,1,0,1
dqcnfkw0,0,0,0,0
dqcnfkys,0,0,0,0
dqcnfmdf,0,0,0,0
dqcnfmnj,0,0,0,0
dqcnfmnq,0,0,0,0
dqcnfmyp,0,0,0,0
dqcnfnyk,0,0,0,0
dqcnfpuy,0,0,0,0
dqcnfpuz,0,1,0,1
dqcnfq3v,0,0,0,0
dqcnfq6s,0,0,1,0
dqcnfqc3,0,1,1,0
dqcnfs2t,0,0,0,0
dqcnft40,0,0,0,0
dqcng06w,0,0,0,0
dqcng0es,0,0,0,0
dqcng0g7,0,0,0,0
dqcng0qg,0,0,0,0
dqcng0rh,0,0,0,0
dqcng0x3,0,0,0,0
dqcng23k,0,1,0,1
dqcng2bf,0,0,0,0
dqcng43b,0,1,1,0
dqcng4te,0,1,1,0
dqcng5m8,0,0,0,0
dqcng74n,0,0,0,0
dqcng78b,0,0,0,0
dqcngfnt,0,0,0,0
dqcngggb,0,0,0,0
dqcngjgx,0,0,0,0
dqcngjkj,0,0,0,0
dqcngnjv,0,0,0,0
dqcngqhc,0,1,1,0
dqcngqwq,0,0,0,0
dqcp176g,0,1,1,0
dqcp1bqv,0,0,0,0
dqcp1cqm,0,0,0,0
dqcp1fce,0,0,0,0
dqcp1gmx,0,0,0,0
dqcp1gsz,0,0,0,0
dqcp1gtj,0,0,0,0
dqcp1gxv,0,0,0,0
dqcp1rx0,0,1,0,0
dqcp1rzr,0,1,0,1
dqcp1vqh,0,0,0,0
dqcp1w9k,0,0,0,0
dqcp1wbz,0,0,0,0
dqcp1wft,0,0,0,0
dqcp1wg7,0,0,0,0
dqcp1wg8,0,1,1,0
dqcp1wk6,0,0,0,0
dqcp1xyv,0,0,0,0
dqcp1yek,0,1,1,0
dqcp1ym5,0,0,0,0
dqcp1ymn,0,0,0,1
dqcp1ys8,0,0,0,0
dqcp1yty,0,0,0,0
dqcp1yv9,0,0,0,0
dqcp1z6r,0,0,0,0
dqcp32j7,0,0,0,0
dqcp38qj,0,0,0,0
dqcp3b1f,0,0,0,0
dqcp3b1m,0,0,0,0
dqcp41gr,0,0,0,0
dqcp428v,0,0,0,0
dqcp473c,0,0,0,0
dqcp478m,0,0,0,0
dqcp47ch,0,0,0,0
dqcp4hjy,0,0,0,0
dqcp4hth,0,0,0,0
dqcp4htm,0,0,0,0
dqcp4j1c,0,0,0,0
dqcp4j6s,0,0,0,0
dqcp4jxf,0,1,1,0
dqcp4k9b,0,0,0,0
dqcp4kb6,0,0,0,0
dqcp4kgx,0,0,0,0
dqcp4qdb,0,0,0,0
dqchf7jt,1,1,0,1
dqcjghk2,1,0,0,0
dqcn71f0,1,0,0,0
dqcn7m93,1,0,0,0
dqcn7m99,1,0,0,0
dqcn7pg9,1,0,0,0
dqcn8zhh,1,0,0,0
dqcn8zhj,1,0,0,0
dqcn9pzt,1,0,0,0
dqcn9r0y,1,1,1,0
dqcn9rge,1,0,0,0
dqcn9rqs,1,0,0,0
dqcn9xvx,1,0,0,0
dqcnbbdk,1,0,0,0
dqcnbbdq,1,1,0,1
dqcnbbe7,1,0,0,0
dqcnbbzc,1,0,0,0
dqcnbchm,1,0,0,0
dqcnbchx,1,0,0,0
dqcnc0gn,1,0,0,0
dqcnc0y3,1,0,0,0
dqcnc16p,1,0,0,0
dqcnc1m6,1,0,0,0
dqcnc29k,1,0,0,0
dqcnc2sv,1,1,0,0
dqcnc2w6,1,0,0,0
dqcnc3fk,1,0,0,0
dqcnc48z,1,0,0,0
dqcnc4u8,1,0,0,0
dqcnc5hk,1,0,0,0
dqcnc5jg,1,0,0,0
dqcnc5r3,1,0,0,0
dqcnc5rf,1,0,1,0
dqcnc60q,1,0,0,0
dqcnc6ex,1,0,0,0
dqcnc6ht,1,0,1,0
dqcnc6tb,1,0,0,0
dqcnc778,1,0,0,0
dqcnc77d,1,0,1,0
dqcnc78q,1,1,1,0
dqcnc78x,1,0,1,0
dqcnc7bc,1,1,1,0
dqcnc7bd,1,0,0,0
dqcnc7hq,1,1,1,0
dqcnc7y0,1,0,0,0
dqcnc8ft,1,0,0,0
dqcnc9je,1,1,0,1
dqcnc9vh,1,0,0,0
dqcncb21,1,0,0,0
dqcncc0t,1,0,0,0
dqcncc0x,1,0,0,0
dqcncdq7,1,1,1,0
dqcncesv,1,0,0,0
dqcncf22,1,0,0,0
dqcncf4c,1,0,0,0
dqcncf58,1,1,0,1
dqcncf69,1,0,0,0
dqcncf6c,1,0,0,0
dqcncfjz,1,0,0,0
dqcncfne,1,0,0,0
dqcncfq5,1,1,0,1
dqcncfu4,1,0,0,0
dqcncgpy,1,0,0,0
dqcncgsj,1,0,0,0
dqcncjbv,1,0,0,0
dqcncrp5,1,0,0,0
dqcncsjm,1,0,0,0
dqcncssg,1,0,0,0
dqcncsvg,1,0,0,0
dqcnct4r,1,0,0,0
dqcnct6t,1,0,0,0
dqcnctbb,1,0,0,0
dqcnctex,1,0,0,0
dqcnctq4,1,0,0,0
dqcncu6f,1,1,0,0
dqcncu6h,1,0,0,0
dqcncu74,1,0,0,0
dqcncuc6,1,0,0,0
dqcncucd,1,0,0,0
dqcncueg,1,0,0,0
dqcncum1,1,1,1,0
dqcncv53,1,0,0,0
dqcncv9e,1,0,0,0
dqcncv9s,1,0,0,0
dqcncvhv,1,0,0,0
dqcncvkb,1,0,0,0
dqcncvy0,1,0,0,0
dqcncwc5,1,0,0,0
dqcncx46,1,0,0,0
dqcncx6x,1,1,1,0
dqcncxc2,1,0,0,0
dqcncxsz,1,0,0,0
dqcncxy1,1,0,0,0
dqcnczy0,1,1,0,1
dqcndk23,1,0,0,0
dqcndte4,1,0,0,0
dqcndtxt,1,0,0,0
dqcne0v2,1,0,0,0
dqcne1qu,1,0,0,0
dqcne28u,1,0,0,0
dqcne4gx,1,0,0,0
dqcne4gy,1,1,0,0
dqcne6ct,1,1,0,1
dqcnem9f,1,0,0,0
dqcnenmf,1,0,0,0
dqcnennp,1,0,0,0
dqcnep20,1,0,0,0
dqcner94,1,1,1,0
dqcnf1g2,1,0,0,0
dqcnf3uz,1,0,0,0
dqcnf47s,1,0,0,0
dqcnf4v1,1,0,0,0
dqcnf559,1,0,0,0
dqcnf69x,1,1,0,1
dqcnf6cg,1,1,1,0
dqcnf6cj,1,0,0,0
dqcnf794,1,0,0,0
dqcnf9bj,1,0,0,0
dqcnfc69,1,0,0,0
dqcnfffs,1,0,0,0
dqcnfgqb,1,0,0,0
dqcnfk5z,1,1,0,1
dqcnfkw0,1,0,0,0
dqcnfkys,1,0,0,0
dqcnfmdf,1,0,0,0
dqcnfmnj,1,0,0,0
dqcnfmnq,1,0,0,0
dqcnfmyp,1,0,0,0
dqcnfnyk,1,0,0,0
dqcnfpuy,1,0,0,0
dqcnfpuz,1,1,0,1
dqcnfq3v,1,0,0,0
dqcnfq6s,1,0,1,0
dqcnfqc3,1,1,1,0
dqcnfs2t,1,0,0,0
dqcnft40,1,0,0,0
dqcng06w,1,0,0,0
dqcng0es,1,0,0,0
dqcng0g7,1,0,0,0
dqcng0qg,1,0,0,0
dqcng0rh,1,0,0,0
dqcng0x3,1,0,0,0
dqcng23k,1,1,0,1
dqcng2bf,1,0,0,0
dqcng43b,1,1,1,0
dqcng4te,1,1,1,0
dqcng5m8,1,0,0,0
dqcng74n,1,0,0,0
dqcng78b,1,0,0,0
dqcngfnt,1,0,0,0
dqcngggb,1,0,0,0
dqcngjgx,1,0,0,0
dqcngjkj,1,0,0,0
dqcngnjv,1,0,0,0
dqcngqhc,1,1,1,0
dqcngqwq,1,0,0,0
dqcp176g,1,1,1,0
dqcp1bqv,1,0,0,0
dqcp1cqm,1,0,0,0
dqcp1fce,1,0,0,0
dqcp1gmx,1,0,0,0
dqcp1gsz,1,0,0,0
dqcp1gtj,1,0,0,0
dqcp1gxv,1,0,0,0
dqcp1rx0,1,1,0,0
dqcp1rzr,1,1,0,1
dqcp1vqh,1,0,0,0
dqcp1w9k,1,0,0,0
dqcp1wbz,1,0,0,0
dqcp1wft,1,0,0,0
dqcp1wg7,1,0,0,0
dqcp1wg8,1,1,1,0
dqcp1wk6,1,0,0,0
dqcp1xyv,1,0,0,0
dqcp1yek,1,1,1,0
dqcp1ym5,1,0,0,0
dqcp1ymn,1,0,0,1
dqcp1ys8,1,0,0,0
dqcp1yty,1,0,0,0
dqcp1yv9,1,0,0,0
dqcp1z6r,1,0,0,0
dqcp32j7,1,0,0,0
dqcp38qj,1,0,0,0
dqcp3b1f,1,0,0,0
dqcp3b1m,1,0,0,0
dqcp41gr,1,0,0,0
dqcp428v,1,0,0,0
dqcp473c,1,0,0,0
dqcp478m,1,0,0,0
dqcp47ch,1,0,0,0
dqcp4hjy,1,0,0,0
dqcp4hth,1,0,0,0
dqcp4htm,1,0,0,0
dqcp4j1c,1,0,0,0
dqcp4j6s,1,0,0,0
dqcp4jxf,1,1,1,0
dqcp4k9b,1,0,0,0
dqcp4kb6,1,0,0,0
dqcp4kgx,1,0,0,0
dqcp4qdb,1,0,0,0
dqchf7jt,2,1,0,1
dqcjghk2,2,0,0,0
dqcn71f0,2,0,0,0
dqcn7m93,2,0,0,0
dqcn7m99,2,0,0,0
dqcn7pg9,2,0,0,0
dqcn8zhh,2,0,0,0
dqcn8zhj,2,0,1,0
dqcn9pzt,2,0,1,0
dqcn9r0y,2,1,1,0
dqcn9rge,2,0,0,0
dqcn9rqs,2,0,1,0
dqcn9xvx,2,0,0,0
dqcnbbdk,2,0,0,0
dqcnbbdq,2,1,0,1
dqcnbbe7,2,0,0,0
dqcnbbzc,2,0,1,0
dqcnbchm,2,0,0,0
dqcnbchx,2,0,0,0
dqcnc0gn,2,0,0,0
dqcnc0y3,2,1,0,0
dqcnc16p,2,0,0,0
dqcnc1m6,2,0,0,0
dqcnc29k,2,0,0,0
dqcnc2sv,2,1,0,0
dqcnc2w6,2,0,0,0
dqcnc3fk,2,0,0,0
dqcnc48z,2,0,0,0
dqcnc4u8,2,0,0,0
dqcnc5hk,2,0,1,0
dqcnc5jg,2,0,0,0
dqcnc5r3,2,0,0,0
dqcnc5rf,2,0,1,0
dqcnc60q,2,0,0,0
dqcnc6ex,2,0,0,0
dqcnc6ht,2,0,1,0
dqcnc6tb,2,0,0,0
dqcnc778,2,0,0,0
dqcnc77d,2,0,1,0
dqcnc78q,2,1,1,0
dqcnc78x,2,0,1,0
dqcnc7bc,2,1,1,0
dqcnc7bd,2,0,0,0
dqcnc7hq,2,1,1,0
dqcnc7y0,2,0,0,0
dqcnc8ft,2,0,0,0
dqcnc9je,2,1,0,1
dqcnc9vh,2,0,0,0
dqcncb21,2,0,0,0
dqcncc0t,2,0,1,0
dqcncc0x,2,0,1,0
dqcncdq7,2,1,1,0
dqcncesv,2,0,0,0
dqcncf22,2,0,0,0
dqcncf4c,2,0,0,0
dqcncf58,2,1,0,1
dqcncf69,2,1,0,1
dqcncf6c,2,0,0,0
dqcncfjz,2,0,0,0
dqcncfne,2,0,0,0
dqcncfq5,2,1,0,1
dqcncfu4,2,0,0,0
dqcncgpy,2,0,1,0
dqcncgsj,2,0,0,0
dqcncjbv,2,0,0,0
dqcncrp5,2,0,1,0
dqcncsjm,2,0,0,0
dqcncssg,2,0,0,0
dqcncsvg,2,0,0,0
dqcnct4r,2,0,0,0
dqcnct6t,2,0,0,0
dqcnctbb,2,0,0,0
dqcnctex,2,0,0,0
dqcnctq4,2,0,1,0
dqcncu6f,2,1,0,0
dqcncu6h,2,0,0,0
dqcncu74,2,0,0,0
dqcncuc6,2,0,0,0
dqcncucd,2,0,0,0
dqcncueg,2,0,0,0
dqcncum1,2,1,1,0
dqcncv53,2,0,0,0
dqcncv9e,2,0,0,0
dqcncv9s,2,0,0,0
dqcncvhv,2,1,0,1
dqcncvkb,2,0,0,0
dqcncvy0,2,0,0,0
dqcncwc5,2,0,0,0
dqcncx46,2,0,0,0
dqcncx6x,2,1,1,0
dqcncxc2,2,0,0,0
dqcncxsz,2,0,0,0
dqcncxy1,2,0,0,0
dqcnczy0,2,1,0,1
dqcndk23,2,1,0,1
dqcndte4,2,0,1,0
dqcndtxt,2,0,0,0
dqcne0v2,2,0,0,0
dqcne1qu,2,0,0,0
dqcne28u,2,0,0,0
dqcne4gx,2,0,0,0
dqcne4gy,2,1,0,0
dqcne6ct,2,1,0,1
dqcnem9f,2,0,0,0
dqcnenmf,2,0,0,0
dqcnennp,2,0,0,0
dqcnep20,2,0,0,0
dqcner94,2,1,1,0
dqcnf1g2,2,0,0,0
dqcnf3uz,2,0,0,0
dqcnf47s,2,0,0,0
dqcnf4v1,2,0,0,0
dqcnf559,2,0,0,0
dqcnf69x,2,1,0,1
dqcnf6cg,2,1,1,0
dqcnf6cj,2,1,0,1
dqcnf794,2,1,0,1
dqcnf9bj,2,0,0,0
dqcnfc69,2,0,0,0
dqcnfffs,2,0,0,0
dqcnfgqb,2,0,0,0
dqcnfk5z,2,1,0,1
dqcnfkw0,2,0,0,0
dqcnfkys,2,0,0,0
dqcnfmdf,2,0,0,0
dqcnfmnj,2,0,0,0
dqcnfmnq,2,0,0,0
dqcnfmyp,2,1,0,1
dqcnfnyk,2,0,1,0
dqcnfpuy,2,0,0,0
dqcnfpuz,2,1,0,1
dqcnfq3v,2,0,0,1
dqcnfq6s,2,0,1,0
dqcnfqc3,2,1,1,0
dqcnfs2t,2,0,0,0
dqcnft40,2,0,1,0
dqcng06w,2,0,0,0
dqcng0es,2,0,0,0
dqcng0g7,2,0,0,0
dqcng0qg,2,0,0,0
dqcng0rh,2,0,0,0
dqcng0x3,2,0,0,0
dqcng23k,2,1,0,1
dqcng2bf,2,0,0,0
dqcng43b,2,1,1,0
dqcng4te,2,1,1,0
dqcng5m8,2,0,0,0
dqcng74n,2,0,0,0
dqcng78b,2,0,1,0
dqcngfnt,2,0,0,0
dqcngggb,2,0,0,0
dqcngjgx,2,0,0,0
dqcngjkj,2,0,0,0
dqcngnjv,2,0,0,0
dqcngqhc,2,1,1,0
dqcngqwq,2,0,0,0
dqcp176g,2,1,1,0
dqcp1bqv,2,0,1,0
dqcp1cqm,2,0,0,0
dqcp1fce,2,0,0,0
dqcp1gmx,2,0,0,0
dqcp1gsz,2,0,0,0
dqcp1gtj,2,0,0,0
dqcp1gxv,2,0,0,0
dqcp1rx0,2,1,0,0
dqcp1rzr,2,1,0,1
dqcp1vqh,2,0,0,0
dqcp1w9k,2,0,1,0
dqcp1wbz,2,0,0,0
dqcp1wft,2,0,0,0
dqcp1wg7,2,0,1,0
dqcp1wg8,2,1,1,0
dqcp1wk6,2,0,0,0
dqcp1xyv,2,0,0,0
dqcp1yek,2,1,1,0
dqcp1ym5,2,0,0,0
dqcp1ymn,2,0,0,1
dqcp1ys8,2,0,0,0
dqcp1yty,2,0,0,0
dqcp1yv9,2,0,0,0
dqcp1z6r,2,0,0,0
dqcp32j7,2,0,1,0
dqcp38qj,2,0,0,0
dqcp3b1f,2,0,0,0
dqcp3b1m,2,0,0,0
dqcp41gr,2,1,0,1
dqcp428v,2,0,0,0
dqcp473c,2,0,0,0
dqcp478m,2,0,0,0
dqcp47ch,2,0,0,0
dqcp4hjy,2,0,0,0
dqcp4hth,2,0,0,0
dqcp4htm,2,0,0,0
dqcp4j1c,2,0,0,0
dqcp4j6s,2,0,0,0
dqcp4jxf,2,1,1,0
dqcp4k9b,2,0,0,0
dqcp4kb6,2,0,0,0
dqcp4kgx,2,0,0,0
dqcp4qdb,2,0,1,0
dqchf7jt,3,1,0,1
dqcjghk2,3,0,0,0
dqcn71f0,3,0,0,0
dqcn7m93,3,0,0,0
dqcn7m99,3,0,0,0
dqcn7pg9,3,0,0,0
dqcn8zhh,3,0,0,0
dqcn8zhj,3,0,1,0
dqcn9pzt,3,0,1,0
dqcn9r0y,3,1,1,0
dqcn9rge,3,0,0,0
dqcn9rqs,3,0,1,0
dqcn9xvx,3,1,0,1
dqcnbbdk,3,0,0,0
dqcnbbdq,3,1,0,1
dqcnbbe7,3,0,0,0
dqcnbbzc,3,0,1,0
dqcnbchm,3,1,0,1
dqcnbchx,3,0,0,0
dqcnc0gn,3,0,0,0
dqcnc0y3,3,1,0,0
dqcnc16p,3,0,0,0
dqcnc1m6,3,0,0,0
dqcnc29k,3,0,0,0
dqcnc2sv,3,1,0,0
dqcnc2w6,3,0,0,0
dqcnc3fk,3,0,0,0
dqcnc48z,3,0,0,0
dqcnc4u8,3,0,0,0
dqcnc5hk,3,0,1,0
dqcnc5jg,3,0,0,0
dqcnc5r3,3,0,0,0
dqcnc5rf,3,0,1,0
dqcnc60q,3,0,1,0
dqcnc6ex,3,0,1,0
dqcnc6ht,3,0,1,0
dqcnc6tb,3,1,0,1
dqcnc778,3,0,0,0
dqcnc77d,3,0,1,0
dqcnc78q,3,1,1,0
dqcnc78x,3,0,1,0
dqcnc7bc,3,1,1,0
dqcnc7bd,3,0,1,0
dqcnc7hq,3,1,1,0
dqcnc7y0,3,0,0,0
dqcnc8ft,3,0,0,0
dqcnc9je,3,1,0,1
dqcnc9vh,3,0,0,0
dqcncb21,3,0,1,0
dqcncc0t,3,0,1,0
dqcncc0x,3,0,1,0
dqcncdq7,3,1,1,0
dqcncesv,3,0,0,0
dqcncf22,3,1,0,1
dqcncf4c,3,0,0,0
dqcncf58,3,1,0,1
dqcncf69,3,1,0,1
dqcncf6c,3,0,0,0
dqcncfjz,3,0,0,0
dqcncfne,3,0,0,0
dqcncfq5,3,1,0,1
dqcncfu4,3,0,0,0
dqcncgpy,3,0,1,0
dqcncgsj,3,0,0,0
dqcncjbv,3,0,1,0
dqcncrp5,3,0,1,0
dqcncsjm,3,0,0,0
dqcncssg,3,0,0,0
dqcncsvg,3,0,1,0
dqcnct4r,3,0,1,0
dqcnct6t,3,0,1,0
dqcnctbb,3,0,0,0
dqcnctex,3,0,1,0
dqcnctq4,3,0,1,0
dqcncu6f,3,1,0,0
dqcncu6h,3,0,1,0
dqcncu74,3,0,0,0
dqcncuc6,3,1,0,1
dqcncucd,3,0,1,0
dqcncueg,3,1,0,1
dqcncum1,3,1,1,0
dqcncv53,3,0,0,0
dqcncv9e,3,0,0,0
dqcncv9s,3,1,0,1
dqcncvhv,3,1,0,1
dqcncvkb,3,0,0,0
dqcncvy0,3,0,0,1
dqcncwc5,3,0,0,0
dqcncx46,3,0,0,0
dqcncx6x,3,1,1,0
dqcncxc2,3,0,0,0
dqcncxsz,3,0,0,0
dqcncxy1,3,0,0,0
dqcnczy0,3,1,0,1
dqcndk23,3,1,0,1
dqcndte4,3,0,1,0
dqcndtxt,3,0,0,0
dqcne0v2,3,0,0,0
dqcne1qu,3,0,0,0
dqcne28u,3,0,1,0
dqcne4gx,3,0,0,0
dqcne4gy,3,1,0,0
dqcne6ct,3,1,0,1
dqcnem9f,3,0,0,0
dqcnenmf,3,0,0,0
dqcnennp,3,0,0,0
dqcnep20,3,0,0,0
dqcner94,3,1,1,0
dqcnf1g2,3,1,0,1
dqcnf3uz,3,0,0,0
dqcnf47s,3,1,0,1
dqcnf4v1,3,0,0,0
dqcnf559,3,0,0,0
dqcnf69x,3,1,0,1
dqcnf6cg,3,1,1,0
dqcnf6cj,3,1,0,1
dqcnf794,3,1,0,1
dqcnf9bj,3,0,0,0
dqcnfc69,3,0,1,0
dqcnfffs,3,0,0,1
dqcnfgqb,3,0,0,0
dqcnfk5z,3,1,0,1
dqcnfkw0,3,0,1,0
dqcnfkys,3,0,0,0
dqcnfmdf,3,0,0,0
dqcnfmnj,3,0,0,0
dqcnfmnq,3,1,0,1
dqcnfmyp,3,1,0,1
dqcnfnyk,3,0,1,0
dqcnfpuy,3,0,0,0
dqcnfpuz,3,1,0,1
dqcnfq3v,3,0,0,1
dqcnfq6s,3,0,1,0
dqcnfqc3,3,1,1,0
dqcnfs2t,3,0,0,0
dqcnft40,3,0,1,0
dqcng06w,3,0,0,0
dqcng0es,3,0,0,0
dqcng0g7,3,0,1,0
dqcng0qg,3,0,0,0
dqcng0rh,3,0,0,0
dqcng0x3,3,1,0,1
dqcng23k,3,1,0,1
dqcng2bf,3,0,1,0
dqcng43b,3,1,1,0
dqcng4te,3,1,1,0
dqcng5m8,3,0,0,0
dqcng74n,3,0,1,0
dqcng78b,3,0,1,0
dqcngfnt,3,0,0,0
dqcngggb,3,0,0,0
dqcngjgx,3,0,0,0
dqcngjkj,3,0,0,0
dqcngnjv,3,0,0,0
dqcngqhc,3,1,1,0
dqcngqwq,3,0,0,0
dqcp176g,3,1,1,0
dqcp1bqv,3,0,1,0
dqcp1cqm,3,0,0,0
dqcp1fce,3,0,0,0
dqcp1gmx,3,0,0,0
dqcp1gsz,3,0,0,0
dqcp1gtj,3,0,0,0
dqcp1gxv,3,0,0,0
dqcp1rx0,3,1,0,0
dqcp1rzr,3,1,0,1
dqcp1vqh,3,0,0,0
dqcp1w9k,3,0,1,0
dqcp1wbz,3,0,0,0
dqcp1wft,3,0,0,0
dqcp1wg7,3,0,1,0
dqcp1wg8,3,1,1,0
dqcp1wk6,3,0,0,0
dqcp1xyv,3,0,0,0
dqcp1yek,3,1,1,0
dqcp1ym5,3,0,0,0
dqcp1ymn,3,0,0,1
dqcp1ys8,3,0,0,0
dqcp1yty,3,0,0,0
dqcp1yv9,3,0,0,0
dqcp1z6r,3,1,0,1
dqcp32j7,3,0,1,0
dqcp38qj,3,0,0,0
dqcp3b1f,3,0,0,0
dqcp3b1m,3,0,0,0
dqcp41gr,3,1,0,1
dqcp428v,3,0,0,0
dqcp473c,3,0,0,0
dqcp478m,3,0,0,0
dqcp47ch,3,0,0,0
dqcp4hjy,3,0,0,0
dqcp4hth,3,0,0,0
dqcp4htm,3,0,0,0
dqcp4j1c,3,0,0,0
dqcp4j6s,3,0,0,0
dqcp4jxf,3,1,1,0
dqcp4k9b,3,0,0,0
dqcp4kb6,3,0,0,0
dqcp4kgx,3,0,0,0
dqcp4qdb,3,0,1,0
dqchf7jt,4,1,0,1
dqcjghk2,4,0,0,0
dqcn71f0,4,1,0,1
dqcn7m93,4,0,0,0
dqcn7m99,4,0,0,0
dqcn7pg9,4,0,1,0
dqcn8zhh,4,0,0,0
dqcn8zhj,4,0,1,0
dqcn9pzt,4,0,1,0
dqcn9r0y,4,1,1,0
dqcn9rge,4,0,1,0
dqcn9rqs,4,0,1,0
dqcn9xvx,4,1,0,1
dqcnbbdk,4,0,1,0
dqcnbbdq,4,1,0,1
dqcnbbe7,4,0,0,0
dqcnbbzc,4,0,1,0
dqcnbchm,4,1,0,1
dqcnbchx,4,0,0,0
dqcnc0gn,4,0,0,0
dqcnc0y3,4,1,0,0
dqcnc16p,4,0,0,0
dqcnc1m6,4,0,0,0
dqcnc29k,4,0,0,0
dqcnc2sv,4,1,0,0
dqcnc2w6,4,0,0,0
dqcnc3fk,4,0,0,0
dqcnc48z,4,0,1,0
dqcnc4u8,4,1,0,1
dqcnc5hk,4,0,1,0
dqcnc5jg,4,0,0,0
dqcnc5r3,4,0,0,0
dqcnc5rf,4,0,1,0
dqcnc60q,4,0,1,0
dqcnc6ex,4,0,1,0
dqcnc6ht,4,0,1,0
dqcnc6tb,4,1,0,1
dqcnc778,4,0,1,0
dqcnc77d,4,0,1,0
dqcnc78q,4,1,1,0
dqcnc78x,4,0,1,0
dqcnc7bc,4,1,1,0
dqcnc7bd,4,0,1,0
dqcnc7hq,4,1,1,0
dqcnc7y0,4,0,1,0
dqcnc8ft,4,0,0,0
dqcnc9je,4,1,0,1
dqcnc9vh,4,0,0,0
dqcncb21,4,0,1,0
dqcncc0t,4,0,1,0
dqcncc0x,4,0,1,0
dqcncdq7,4,1,1,0
dqcncesv,4,0,1,0
dqcncf22,4,1,0,1
dqcncf4c,4,0,0,0
dqcncf58,4,1,0,1
dqcncf69,4,1,0,1
dqcncf6c,4,0,0,0
dqcncfjz,4,1,0,1
