home,community,building_value,income,damage_level,population_scaled,age,race,household_id
dqcncdq7,dqcncd,0.59256767387798,0.0,0.0,1.0,0.19250963196070137,1.0,13
dqcp1ys8,dqcp1y,0.5868163632517239,0.7331611346906253,0.0,0.2857142857142857,0.7730630655534119,0.25,46
dqcp4kgx,dqcp4k,0.493497871735082,0.24634899234421784,0.0,0.42857142857142855,0.6769591749117673,0.5,50
dqcnc78q,dqcnc7,0.48280300006601684,0.9217346664397564,0.0,0.14285714285714285,0.8552955396375304,1.0,10
dqcnf794,dqcnf7,0.5055365331520382,0.11655774024034454,0.0,0.5714285714285714,0.7341627949777161,0.0,31
dqcncwc5,dqcncw,0.5228429700673669,0.2777754208400779,0.5,0.8571428571428571,0.25079904797528435,0.0,21
dqcnc0y3,dqcnc0,0.7837258119154922,0.6456208566318232,0.75,0.5714285714285714,0.14956165432248922,0.0,7
dqcp1rzr,dqcp1r,0.920513005067587,0.6857910620744865,0.75,1.0,0.5261378368588526,0.25,44
dqcncf6c,dqcncf,0.6707884618308558,0.30865108236903144,0.5,0.5714285714285714,0.7823940619621588,0.0,15
dqcnfffs,dqcnff,0.868385328528497,0.5013945628379107,0.0,0.14285714285714285,0.5425817037347535,0.0,32
dqcng4te,dqcng4,0.3454935310565471,0.5684583361604187,0.0,0.5714285714285714,0.5757779425595938,0.0,38
dqcnc0gn,dqcnc0,0.7477537903578988,0.5153910650456752,1.0,0.8571428571428571,0.15409452897268772,0.0,6
dqcnfqc3,dqcnfq,0.2932761852247302,0.0,0.5,0.14285714285714285,0.4341192413796454,0.0,35
dqcncx6x,dqcncx,0.43922599014123936,0.19291728442381403,0.0,0.2857142857142857,0.8553492822359033,0.25,22
dqcne1qu,dqcne1,0.5620732128753808,0.3138705451477947,0.75,1.0,0.27381942043241136,1.0,23
dqcn9xvx,dqcn9x,0.39553420536855344,0.040010181211551046,0.5,0.7142857142857143,0.5850278884664761,0.0,3
dqcp1wg8,dqcp1w,0.4681810205883276,0.035988980270418504,0.0,0.42857142857142855,0.853356953333894,0.0,45
dqcp1gxv,dqcp1g,0.4527122903143591,0.30982581143675464,0.5,0.2857142857142857,0.8210856938541836,0.0,42
dqcn9r0y,dqcn9r,0.5151876087844437,0.0,0.5,0.42857142857142855,0.8221534647370766,0.0,2
dqcnenmf,dqcnen,0.5419814004367841,0.0,0.0,0.42857142857142855,0.2064198037063678,0.25,26
