Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date,original_lon,original_lat,mapping_distance_meters,mapped_to_sales_idx
Proposed 681 sqft dock with one boat lift.,Closed-CC Issued,1,ePlan,,-81.97501272443843,26.51630777983516,2023-03-01,-81.974981312378,26.516187870969,13.79867585323648,484
New dock design,Closed-Revision Approved,1,ePlan,,-81.97501272443843,26.51630777983516,2023-09-01,-81.974981312378,26.516187870969,13.79867585323648,484
Air conditioning change out / like for like / 14 Seer 10 KW 3.5 Ton,Permit Expired,0,ePlan,,-81.9672684203718,26.51085519217201,2022-11-01,-81.967315786399,26.510739577087,13.908492231402045,1244
aluminum roofover - hurricane damage,Closed-CC Issued,0,ePlan,,-81.9672684203718,26.51085519217201,2023-03-01,-81.967315786399,26.510739577087,13.908492231402045,1244
Replace steep slope and low slope roofs.Steep slope roof - Owens Corning Duration Shingles NOA 21-0518.04 with Polyglas IRXe self adhering underlayment FL5259-R37Low Slope Roof - Polyglas Self Adhered Modified Bitumen FL1654-R30 System W-209,Permit Expired,0,ePlan,,-81.96527140967909,26.519724664818245,2023-03-01,-81.965223895067,26.519605461295,14.285057755942809,1114
re-roof,Closed-CC Issued,0,ePlan,,-81.9546529542641,26.51515905333143,2022-12-01,-81.954609712867,26.515038045066,14.304866342762145,1324
replace 3 ton 8 kw 14 seer package unit,Closed-CC Issued,0,ePlan,,-81.9546529542641,26.51515905333143,2023-04-01,-81.954609712867,26.515038045066,14.304866342762145,1324
Aluminum roofover - Hurricane damage,Closed-CC Issued,0,ePlan,,-81.96613587714138,26.511272915550173,2023-03-01,-81.96626565481,26.511248340957,14.703578594418564,1278
4' chain link fence and 6' vinyl privacy fence  with gate,Closed-CC Issued,0,ePlan,,-81.96613587714138,26.511272915550173,2023-05-01,-81.96626565481,26.511248340957,14.703578594418564,1278
4' chain link fence and 6' vinyl privacy fence  with gate,Closed-CC Issued,0,ePlan,,-81.96613587714138,26.511272915550173,2023-05-01,-81.96626565481,26.511248340957,14.703578594418564,1278
Replace 17 windows in 16 openings size for size with impact,Closed-CC Issued,0,ePlan,,-81.96976469941012,26.507877241638628,2022-11-01,-81.969833687052,26.507759948302,15.14812093533486,265
reroof,Closed-CC Issued,0,ePlan,,-81.96976469941012,26.507877241638628,2023-05-01,-81.969833687052,26.507759948302,15.14812093533486,265
install new water pipes going to all fixtures. We will be installing a new water heater.,Closed-CC Issued,0,ePlan,,-81.96772114931443,26.51085514149858,2022-11-01,-81.967649041956,26.510735757546,15.52584764086798,1241
*******EMERGENCY PERMIT*******Replace Meter Main Like for Like,Closed-CC Issued,0,ePlan,,-81.96772114931443,26.51085514149858,2023-04-01,-81.967649041956,26.510735757546,15.52584764086798,1241
***CLOSED/WITHDRAWN***Remove the existing roofing tile and replacing with new roofing tile,Closed-Withdrawn,0,ePlan,,-81.97264559478029,26.508881861789604,2023-07-01,-81.972618501136,26.508739773003,16.102309609930796,1422
Install 116' of black 4' high 2-Rail aluminum with two 4' wide gates affixed with aluminum-specific pool code gate hardware,Closed-CC Issued,0,ePlan,,-81.97264559478029,26.508881861789604,2023-07-01,-81.972618501136,26.508739773003,16.102309609930796,1422
remove existing roofing tiles and replace the roof with new roofing tiles.,Closed-CC Issued,0,ePlan,,-81.97264559478029,26.508881861789604,2023-08-01,-81.972618501136,26.508739773003,16.102309609930796,1422
"Single Family Residence *Inspections done by Private Provider- Weintraub Engineering & Inspections, Inc** R02-Drainage plan and retaining wall**",Permit Issued,6,ePlan,,-81.96553206894292,26.520054194083173,2022-10-01,-81.965627717708,26.519945610422,16.10839162883677,1113
Install temporary travel trailer for FDEM due to damage from hurricane Ian,Closed-TMP,0,ePlan,,-81.96726689203518,26.51048257341382,2023-01-01,-81.967241753789,26.510625824838,16.190422266003907,1236
Installation of new replacement mobile home from storm damage,Closed-CO Issued,2,ePlan,,-81.96726689203518,26.51048257341382,2023-04-01,-81.967241753789,26.510625824838,16.190422266003907,1236
Demolition of mobile home from storm damage,Permit Expired,0,ePlan,,-81.96726689203518,26.51048257341382,2023-06-01,-81.967241753789,26.510625824838,16.190422266003907,1236
Tear off roof down  to plywood and replace shingles only.,Closed-CC Issued,0,ePlan,,-81.96734031416804,26.511694735051528,2023-06-01,-81.967369901422,26.51183945354,16.44330419536706,112
6 foot vinyl fence - no gate,Closed-CC Issued,1,Paper Submittal,,-81.96761078653476,26.51108775036516,2023-03-01,-81.967586180656,26.511233588683,16.464173137974303,1253
change from wood to vinyl,Closed-Revision Approved,1,Paper Submittal,,-81.96761078653476,26.51108775036516,2023-04-01,-81.967586180656,26.511233588683,16.464173137974303,1253
reroof. tear off existing & replace with new shingles.,Closed-CC Issued,0,ePlan,,-81.96696496650884,26.51048330134505,2023-05-01,-81.966994620455,26.510628657306,16.51431802528478,1234
Replace screen room destroyed by Ian,Closed-CO Issued,0,ePlan,,-81.96696496650884,26.51048330134505,2023-06-01,-81.966994620455,26.510628657306,16.51431802528478,1234
Replace Electrical panel,Closed-CC Issued,0,ePlan,,-81.96426676976776,26.51761117977105,2023-01-01,-81.964158508951,26.517716545736,16.817203078242997,1175
window replacement (8 windows),Closed-CC Issued,1,ePlan,,-81.96426676976776,26.51761117977105,2023-04-01,-81.964158508951,26.517716545736,16.817203078242997,1175
Temporary shipping container for construction storage for window project. Container must be removed upon completion of OPN2023-02115,Permit Expired,1,ePlan,,-81.96426676976776,26.51761117977105,2023-05-01,-81.964158508951,26.517716545736,16.817203078242997,1175
Replace steep slope. Steep slope roof - Owens Corning Duration Shingles NOA 21-0518.04 with Polyglas IRXe self adhering underlayment FL5259-R37,Closed-CC Issued,0,ePlan,,-81.96474503244731,26.519763150485858,2023-04-01,-81.964767741025,26.51961258358,16.950667062335253,1115
"Remove existing roof damaged by hurricane IAN, Replace underlayment and roof shingles.",Closed-CC Issued,0,ePlan,,-81.96651215606383,26.510481949049503,2023-09-01,-81.966500353788,26.510634322243,17.012990043142796,1231
re-roof,Closed-CC Issued,0,ePlan,,-81.9663512708634,26.51584696873285,2023-03-01,-81.966503151889,26.515827979313,17.039032082496657,1188
Replace meter and outdoor panel and update grounds per code,Closed-Withdrawn,0,ePlan,,-81.96738366667309,26.51108771077243,2023-01-01,-81.967427296673,26.511235269991,17.129286959187894,1252
40 GALLON WATER HEATER/MINOR REPIPE,Waiting on Applicant,0,ePlan,,-81.96738366667309,26.51108771077243,2023-02-01,-81.967427296673,26.511235269991,17.129286959187894,1252
SHED 12X16 WOOD ON POST,Closed-CO Issued,0,ePlan,,-81.96613931924755,26.51112382510956,2022-11-01,-81.966259397417,26.511027246164,17.154213163701417,1228
REPAIR AND REPLACE HURRICANE DAMAGE,Closed-CC Issued,0,ePlan,,-81.9661435650862,26.510890046103057,2023-05-01,-81.966261972107,26.510791201613,17.170169362149412,1227
Change out existing 4 ton split system.,Closed-CC Issued,0,ePlan,,-81.97114901027051,26.505486624650064,2023-03-01,-81.97126425188,26.505383557264,17.2109197063018,310
REROOF TILE TO TILE,Closed-CC Issued,0,ePlan,,-81.95482984241238,26.521928490993467,2023-06-01,-81.954936275984,26.521816328664,17.21271198205296,721
Run new water line to house and install rpz style backflow.,Permit Expired,0,ePlan,,-81.96826607241486,26.516532324338893,2023-03-01,-81.968420919001,26.516518906418,17.30211699212287,1491
4' CHAIN LINK 2 GATES,Closed-CC Issued,0,ePlan,,-81.96826607241486,26.516532324338893,2023-06-01,-81.968420919001,26.516518906418,17.30211699212287,1491
RE ROOF SHINGLE TO SHINGLE,Closed-CC Issued,0,ePlan,,-81.9666629972285,26.510482335831103,2023-03-01,-81.966623920454,26.510632906009,17.316745690360154,1232
RE ROOF WITH ASPHALT SHINGLES,Closed-CC Issued,0,ePlan,,-81.95657977957258,26.51162056798896,2022-12-01,-81.956563725233,26.511465093073,17.399494521416955,861
Replacement Pool Enclosure- Hurricane Ian.,Closed-CO Issued,0,ePlan,,-81.97503583493824,26.510477334433457,2023-01-01,-81.9749476682,26.510608652726,17.607526201291442,1486
HURRICANE PROTECTION LIKE FOR LIKE SIZE FOR SIZE. INSTALL2 IMPACT WINDOWS,Closed-CC Issued,0,ePlan,,-81.95483099361552,26.522102111486145,2023-03-01,-81.954988151051,26.52212271977,17.644539871953636,720
"replacing door , replacing drywall and repairing outlets due to storm",Closed-Revision Approved,1,ePlan,,-81.96238582060019,26.51170001988347,2022-11-01,-81.962438818045,26.511850138786,17.72206500347823,839
Install mini split on lanai for dehumidification,Closed-CC Issued,0,Paper Submittal,,-81.96238582060019,26.51170001988347,2023-06-01,-81.962438818045,26.511850138786,17.72206500347823,839
INSTALL 3 TON 10 KW 14 SEER PKG REPLACEMENT,Closed-CC Issued,0,ePlan,,-81.95468684392749,26.515784753485736,2023-05-01,-81.954610518662,26.51564412735,17.81163699692483,1315
"AC Change Out, Like for Like",Closed-CC Issued,0,ePlan,,-81.96834994282122,26.516802193574343,2022-12-01,-81.968483437097,26.516713674362,17.83079984174702,1492
Replacement of water pipes throughout house.,Permit Expired,0,ePlan,,-81.95767493927224,26.522706194608364,2023-01-01,-81.95769403698,26.522865868918,17.901629309174268,504
Replace split system,Closed-CC Issued,0,ePlan,,-81.95767493927224,26.522706194608364,2023-02-01,-81.95769403698,26.522865868918,17.901629309174268,504
RE ROOF WITH ASPHALT SHINGLES,Closed-CC Issued,0,ePlan,,-81.9567430738445,26.51083063355582,2022-12-01,-81.956696822091,26.510676087536,17.9579887042045,915
WHOLE HOME REPIPE REPLACE HOT COLD WATER DISTRIBUTION LINES WITH PEX 13 FIXTURES LIKE FOR LIKE,Closed-Voided,0,ePlan,,-81.96419875370925,26.52024451153028,2022-10-01,-81.964281403008,26.520105972107,17.958120313298366,1359
Air conditioning change out / like for like,Closed-Voided,0,ePlan,,-81.96419875370925,26.52024451153028,2022-11-01,-81.964281403008,26.520105972107,17.958120313298366,1359
"Replace 4' of drywall and insulation throughout entire structure, Plumbing, Electric and Mechanical",Permit Expired,0,ePlan,,-81.96419875370925,26.52024451153028,2022-11-01,-81.964281403008,26.520105972107,17.958120313298366,1359
Pool Enclosure,Closed-CC Issued,0,ePlan,,-81.97527437574807,26.510613287468697,2023-01-01,-81.975166189745,26.510734406374,18.078450421457863,1487
"A/C Change out, like for like, 5 Ton 18 Seer American Standard Split System with 10KW heat.",Closed-CC Issued,0,ePlan,,-81.97409247222053,26.511451279542992,2023-03-01,-81.974144386163,26.511606872085,18.259227683764756,1438
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CC Issued,0,ePlan,,-81.97409247222053,26.511451279542992,2023-05-01,-81.974144386163,26.511606872085,18.259227683764756,1438
New Meter Can and grounding system.,Closed-CC Issued,0,ePlan,,-81.96710250995599,26.51272862132421,2023-08-01,-81.967228813125,26.512834169,18.323151064938926,1057
Re-Roof; Remove the Existing Shingle Roof; Install New Shingle Roof,Closed-CC Issued,0,ePlan,,-81.96710250995599,26.51272862132421,2023-09-01,-81.967228813125,26.512834169,18.323151064938926,1057
Replace Air Handler and Condenser - like for like,Permit Expired,0,ePlan,,-81.96058162938093,26.50579211051172,2023-01-01,-81.960708771604,26.505896763972,18.331497972296894,651
Re-Roofing,Closed-CC Issued,0,ePlan,,-81.95809679191662,26.52269192285159,2023-01-01,-81.958072912481,26.522855085936,18.356806241605575,506
"Replace existing 36"" x 80"" front door. move its location and instal 67"" x 96"" pivot door",Closed-Withdrawn,0,ePlan,,-81.97429535129898,26.50962636826357,2022-07-01,-81.974416810566,26.509738440693,18.39732093641542,1415
AC Change out like for like -,Closed-Withdrawn,0,ePlan,,-81.96872281976383,26.50510485259079,2022-10-01,-81.968713954951,26.505270203355,18.43328116414964,341
"TILE RE-ROOF. TILE OFF, TILE ON.",Closed-CC Issued,0,ePlan,,-81.96872281976383,26.50510485259079,2023-03-01,-81.968713954951,26.505270203355,18.43328116414964,341
TEAR OFF EXISTING TILE / RE-ROOF TILE,Closed-CC Issued,0,ePlan,,-81.95463954939618,26.521653703095204,2023-03-01,-81.954752926466,26.521530457482,18.641976096800853,723
Residential Reroof,Closed-CC Issued,0,ePlan,,-81.96427520377017,26.516125708562736,2023-05-01,-81.964128374593,26.51620687211,18.67600902087277,1193
"Install 200amp ats and modules to control generator load.  Also, remove and replace existing main electrical panel with like system.",Closed-CC Issued,0,ePlan,,-81.9741963084522,26.51024317862111,2022-11-01,-81.974120682567,26.510092463858,18.771276808695994,1432
"Install underground 500gal LP tank with lines to new generator, pool heater, and cook top",Closed-CC Issued,0,ePlan,,-81.9741963084522,26.51024317862111,2022-11-01,-81.974120682567,26.510092463858,18.771276808695994,1432
Install Hurricane Ian Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CO Issued,0,ePlan,,-81.9741963084522,26.51024317862111,2022-11-01,-81.974120682567,26.510092463858,18.771276808695994,1432
Tile to tile RE-ROOF,Closed-CC Issued,0,ePlan,,-81.96893768739517,26.50509980311432,2023-08-01,-81.96891409426,26.505267100424,18.807818193131745,342
"Inground pool, paver deck.",Closed-CC Issued,0,ePlan,,-81.96688579594581,26.51292916546699,2022-07-01,-81.966964738044,26.513078980914,18.851089011161207,1058
Hurricane Ian Damage - Re-model,Permit Expired,1,Paper Submittal,,-81.96688579594581,26.51292916546699,2022-11-01,-81.966964738044,26.513078980914,18.851089011161207,1058
Replace size by size existing windows by impact resistant windows,Closed-Voided,0,ePlan,,-81.96688579594581,26.51292916546699,2022-11-01,-81.966964738044,26.513078980914,18.851089011161207,1058
Reroof Shingle to shingle,Closed-CC Issued,0,ePlan,,-81.96467420038196,26.51774546936328,2022-12-01,-81.964720552382,26.517908414935,18.85872749208499,1173
"Re-roof. Tile off, tile on.",Closed-CC Issued,0,ePlan,,-81.97503286084478,26.509235096549727,2023-06-01,-81.975184123069,26.509156370734,18.982594576790667,1482
"REPLACE EXISTING 13 windows and 2 entry doors AND 2 SLIDING GLASS DOORS, size for size",Closed-CC Issued,0,ePlan,,-81.97244851230862,26.509683669254464,2022-10-01,-81.972277317126,26.509688065367,19.063730014669883,1425
"NEW SCREEN ENCLOSURE, SAME FOOTPRINT",Closed-Withdrawn,1,ePlan,,-81.97244851230862,26.509683669254464,2022-12-01,-81.972277317126,26.509688065367,19.063730014669883,1425
***R01 - New Engineered Drawings***,Closed-Revision Approved,1,ePlan,,-81.97244851230862,26.509683669254464,2022-02-01,-81.972277317126,26.509688065367,19.063730014669883,1425
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CC Issued,0,ePlan,,-81.97244851230862,26.509683669254464,2023-03-01,-81.972277317126,26.509688065367,19.063730014669883,1425
Replacement Pool Enclosure Over Existing Deck With A Screen Roof,Closed-CO Issued,0,ePlan,,-81.97376864597355,26.509797143382,2022-11-01,-81.973732277151,26.509964496552,19.064594027423883,1413
Replacing Screen Enclosure due to hurricane damage,Closed-CO Issued,0,ePlan,,-81.95726330214536,26.52136933507812,2023-02-01,-81.957239206018,26.521539159295,19.094183238292832,511
Re-Roof,Closed-CC Issued,0,ePlan,,-81.95726330214536,26.52136933507812,2023-07-01,-81.957239206018,26.521539159295,19.094183238292832,511
REPLACE AC SYSTEM,Closed-CC Issued,0,ePlan,,-81.96662950047478,26.5083591133368,2022-11-01,-81.96675259739,26.508239587992,19.10011113397372,537
AC CHANGEOUT 4 TON 14 SEER 10KW SPLIT SYSTEM LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.97026766962685,26.505081093816514,2023-01-01,-81.970315199195,26.505246159502,19.121698050298164,348
Reroof metal to metal on BOAT HOUSE,Closed-CC Issued,0,ePlan,,-81.96402463464017,26.521823541506983,2023-01-01,-81.963986999603,26.521655463,19.17380945239509,1347
Reroof shingle to shingle on GARAGE **R01 - Re-Roof Garage Metal**,Closed-CC Issued,1,ePlan,,-81.96402463464017,26.521823541506983,2023-01-01,-81.963986999603,26.521655463,19.17380945239509,1347
REVISION: Re-Roof Shingle product to Metal product,Closed-Revision Approved,1,ePlan,,-81.96402463464017,26.521823541506983,2023-05-01,-81.963986999603,26.521655463,19.17380945239509,1347
Tile Roof Replacement,Closed-CC Issued,0,ePlan,,-81.9724377673293,26.509057351072794,2023-07-01,-81.972265428468,26.509057965537,19.18488398039467,1423
AC CHANGEOUT 3 TON PACKAGE UNIT LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.96409797691082,26.520788962595745,2022-07-01,-81.964072476154,26.520618079646,19.233335707681594,1357
Replace (8) windows and (5) doors size for size Impact,Closed-CC Issued,0,ePlan,,-81.96409797691082,26.520788962595745,2022-08-01,-81.964072476154,26.520618079646,19.233335707681594,1357
REPLACING 3 TON DUCT SYSTEM ONLY,Closed-CC Issued,0,ePlan,,-81.96409797691082,26.520788962595745,2022-09-01,-81.964072476154,26.520618079646,19.233335707681594,1357
Reroof due to hurricane Ian,Closed-CC Issued,0,ePlan,,-81.96409797691082,26.520788962595745,2023-01-01,-81.964072476154,26.520618079646,19.233335707681594,1357
Pool/Paver DeckMcDaniel,Closed-CC Issued,0,ePlan,,-81.96409797691082,26.520788962595745,2023-03-01,-81.964072476154,26.520618079646,19.233335707681594,1357
"Installing 3 Standard Alum RD MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.97023695535776,26.51059014278113,2023-02-01,-81.970163959406,26.510747979798,19.35845929891167,479
tile reroof,Closed-CC Issued,0,ePlan,,-81.95745870266826,26.52269304541121,2023-03-01,-81.957449403364,26.522866832551,19.37366120536028,503
"Replace 3T Split AC System, like for like",Closed-CC Issued,0,ePlan,,-81.96190057061548,26.511208157122013,2023-02-01,-81.961891405302,26.511382190628,19.400257405979747,835
"Installing 1 Standard Alum RD &  1 Storm Catcher Easy Screen *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.96190057061548,26.511208157122013,2023-03-01,-81.961891405302,26.511382190628,19.400257405979747,835
DEMOLISH DAMAGED EXISTING POOL RETAINING WALL AND REPLACE. ONLY RETAINING WALL WILL BE REPLACED,Closed-CC Issued,0,ePlan,,-81.97514322298179,26.51594255981318,2022-11-01,-81.974981312383,26.516008236608,19.450277974461937,579
"Installing 14 Storm Catcher RD MOT & 1 Standard Aluminum RD MOT  *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,3,ePlan,,-81.97514322298179,26.51594255981318,2022-12-01,-81.974981312383,26.516008236608,19.450277974461937,579
"Add openings 13,14,15,16",Closed-Revision Approved,3,ePlan,,-81.97514322298179,26.51594255981318,2022-02-01,-81.974981312383,26.516008236608,19.450277974461937,579
"Installing 2 Storm Catcher Rolldown Screens & 1 Standard Alum RD MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-Withdrawn,0,ePlan,,-81.97514322298179,26.51594255981318,2023-06-01,-81.974981312383,26.516008236608,19.450277974461937,579
4' picket with gates,Closed-CC Issued,0,ePlan,,-81.97514322298179,26.51594255981318,2023-06-01,-81.974981312383,26.516008236608,19.450277974461937,579
Pool enclsoure,Closed-Voided,0,ePlan,,-81.97514322298179,26.51594255981318,2023-06-01,-81.974981312383,26.516008236608,19.450277974461937,579
"Add openings #17, 18 Storm Catcher Rolldown screens Motorized FL 11291.1 Add Opening #19 standard aluminum rolldown motorized fl 31658.1",Closed-Revision Approved,3,ePlan,,-81.97514322298179,26.51594255981318,2022-09-01,-81.974981312383,26.516008236608,19.450277974461937,579
New Construction of Single-Family Home *Inspections Done By Private Provider â eAtlantic Engineering*,Closed-CO Issued,5,ePlan,,-81.96383822043711,26.520870055591818,2023-02-01,-81.963819055386,26.520696055264,19.486855590328314,1356
We are changing the air conditioning equipment and all of the ductwork inside the house.,Payment Required,0,ePlan,,-81.96430278425422,26.521736891643936,2023-01-01,-81.964261143307,26.521566267922,19.551298320089856,1348
Interior repair due to flooding from Hurricane Ian storm damage,Closed-CC Issued,1,ePlan,,-81.97005364936963,26.50508410570281,2022-11-01,-81.970115053981,26.505248939292,19.58113370772704,347
like for like replacement 3.5 ton 16 seer split system,Closed-Voided,0,ePlan,,-81.97005364936963,26.50508410570281,2023-03-01,-81.970115053981,26.505248939292,19.58113370772704,347
Add A/C,Closed-Revision Approved,1,ePlan,,-81.97005364936963,26.50508410570281,2022-05-01,-81.970115053981,26.505248939292,19.58113370772704,347
Install Hurricane Ian Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CO Issued,0,ePlan,,-81.97321635816253,26.509792394842187,2022-12-01,-81.973158559806,26.509959872471,19.72262637502012,1411
roof replacement- tile to tile,Closed-CC Issued,0,ePlan,,-81.97116312605866,26.505700280376715,2023-07-01,-81.971338756892,26.505671977992,19.80345398883047,311
"remove and replace roof, concrete tile to concrete tile",Closed-CC Issued,0,ePlan,,-81.96937719220308,26.50509362193699,2023-04-01,-81.969314372876,26.505260894563,19.89061301344638,344
Replacement of Screen enclosure due to Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.96937719220308,26.50509362193699,2023-07-01,-81.969314372876,26.505260894563,19.89061301344638,344
Roof replacement,Permit Expired,0,ePlan,,-81.9650300757288,26.518029816129182,2023-04-01,-81.964918576457,26.517889939767,19.91274421155464,766
Remove and replace tile roof,Closed-CC Issued,0,ePlan,,-81.96896075097179,26.50715376438335,2023-06-01,-81.968940292834,26.506975733771,19.9487907211344,317
"INSULATION, ROOF (FL#5259.2 & NOA 18-0228.04), FLOORING, & ELE",Permit Expired,0,Paper Submittal,,-81.96703371078581,26.511695275011498,2022-11-01,-81.967136613063,26.511842089561,19.958092932317385,1265
Remove Existing Tile Roofing / Replace with Tile Roofing / 2 Ply Underlayment System.,Closed-CC Issued,0,ePlan,,-81.97432729822872,26.51189317169783,2023-08-01,-81.974410244517,26.51173421656,19.95915837811924,1451
Drywalling due to flooding,Closed-Voided,0,ePlan,,-81.95680451663144,26.507079665119992,2022-12-01,-81.956811905723,26.507259872768,20.077571963504237,158
REMOVE EXISTING METAL/ INSTALL 16 INCH STANDING SEAM METAL.,Closed-CC Issued,0,ePlan,,-81.9603893202506,26.5220627925692,2022-12-01,-81.960212228721,26.522028428161,20.081561026640948,1095
"TILE REROOF. TILE OFF, TILE ON.",Closed-CC Issued,0,ePlan,,-81.96983962957958,26.50508711640512,2023-07-01,-81.969914908766,26.505251719082,20.148919121605395,346
New Construction of Single-Family Home,Closed-CO Issued,2,ePlan,,-81.96759322563959,26.51614776080524,2022-11-01,-81.967418330253,26.51619462868,20.156297116269066,483
"Building a 155 sq. ft. wood dock and installing a 10,000 lb. new boat lift.",Closed-CC Issued,1,ePlan,,-81.96759322563959,26.51614776080524,2023-04-01,-81.967418330253,26.51619462868,20.156297116269066,483
Install 94 Lf of 4' high vinyl-coated chain link fence with no gates.,Closed-CC Issued,0,ePlan,,-81.96759322563959,26.51614776080524,2023-07-01,-81.967418330253,26.51619462868,20.156297116269066,483
Install 500 gallon underground LP tank - Run gas line and hookup cooktop. Run lines valve and cap for future generator.,Closed-CC Issued,0,ePlan,,-81.96759322563959,26.51614776080524,2023-09-01,-81.967418330253,26.51619462868,20.156297116269066,483
Install underground 250gal LP tank with lines to new generator and pool heater.  Also tying in existing UG LP tank to system.,Closed-CC Issued,0,ePlan,,-81.97496519399438,26.514616865372155,2022-09-01,-81.974783614665,26.514612414434,20.219482707754768,373
